Drug Name,CNN_CNN,Daylight_AAC,Morgan_AAC,Morgan_CNN,MPNN_CNN
US_463,152.75,594.01,448.89,3581.12,13333.85
US_15,152.96,842.07,176.96,152.82,2762.03
US_455,154.64,977.4,526.95,260.14,2419.26
US_274,155.88,949.91,742.18,631.93,3.32
US_416,157.21,578.45,455.07,266.83,598.68
US_465,157.31,985.11,198.72,442.14,4255.44
646_116,158.38,984.02,2417.77,2682.96,4625.2
646_113,159.79,2209.43,18108.03,7528.72,1773.16
646_95,159.82,1600.7,449.49,252.7,2809.01
US_91,160.11,67.34,1796.99,1192.31,4455.25
paper_16,160.12,164.32,9840.54,3576.11,3303.13
US_468,160.65,703.89,366.26,1184.66,3003.51
US_3,161.61,123.79,622.59,2307.63,3996.64
646_97,161.8,1019.74,313490.0,82871.75,2682.3
646_98,161.8,1015.72,192138.4,11783.63,6273.84
646_112,162.39,661.62,133163.84,7487.53,5562.36
US_245,166.14,667.88,372.54,1426.09,13231.91
paper_9,166.68,159.7,1563.64,9480.99,2733.99
US_201,166.76,1024.67,166.97,363.66,1037.2
US_7,166.89,79.35,943.6,2977.23,4646.71
US_412,167.18,684.29,603.51,868.99,4465.77
US_413,167.32,681.26,648.7,956.42,2824.26
US_390,167.78,1372.14,635.47,242.17,286.17
US_392,168.21,690.73,465.0,295.87,2226.55
US_306,170.03,1708.21,937.46,518.87,0.69
US_151,170.33,886.76,389.8,1516.53,5057.1
US_174,171.35,1028.28,355.38,366.44,14362.95
US_6,171.46,96.09,669.45,3285.09,5214.26
US_140,171.46,87.39,553.53,1974.67,2612.05
646_89,172.46,2375.51,285.28,125.35,7499.42
646_90,172.46,2375.51,285.28,125.35,3796.13
US_162,173.32,518.89,83.39,37.49,9035.39
US_44,173.33,737.94,204.66,328.02,4341.24
paper_18,175.2,126.47,25242.01,5191.08,1280.88
31678_31,175.59,65.68,24740.79,66752.45,11954.45
US_57,178.42,212.61,941.1,578.1,75.64
US_403,181.54,982.6,555.64,1213.99,4062.93
646_18,182.6,935.9,75740.76,12748.01,2642.44
US_389,184.22,698.52,434.77,273.63,7092.34
US_411,184.99,1003.55,397.59,340.07,2668.5
US_33,185.64,1006.55,404.08,1492.94,5646.91
US_269,186.93,151.2,215.02,105.37,1874.4
US_326,187.07,711.56,320.67,1242.94,297.69
paper_1,187.26,717.29,1941.77,3578.01,2367.49
US_299,188.54,1500.9,350.37,356.19,3306.3
646_99,188.79,856.06,76051.25,10775.37,982.57
US_268,188.79,144.99,347.15,1132.3,1658.28
646_13,191.89,610.77,163512.44,25277.95,3451.82
US_85,192.6,142.41,219.65,181.2,3448.48
US_270,193.93,94.23,758.12,1337.16,2634.5
US_294,193.93,502.14,313.91,388.3,2497.78
US_265,193.95,124.1,385.54,1320.64,2565.66
US_2,194.64,416.18,294.37,1413.63,7781.3
646_94,197.88,4652.74,737.01,760.68,2124.42
US_41,197.95,257.07,721.5,704.84,2899.79
US_261,199.1,112.24,478.05,1182.75,4745.41
US_417,199.73,3808.95,321.05,338.8,6711.06
US_401,201.43,767.3,350.52,3606.04,5241.94
US_315,201.86,2140.4,819.6,1242.79,43053.45
US_353,203.0,1101.71,2216.31,7855.22,7286.01
625_13,203.21,1065.24,453.73,887.44,1793.97
646_31,203.34,780.34,2291.58,11560.92,3570.06
US_447,204.38,1480.47,489.4,500.3,359.53
US_327,205.66,711.56,320.67,1242.94,3700.06
US_385,205.66,670.94,158.77,698.13,4517.23
31678_51,205.94,272.54,39937.93,25931.03,1607.87
US_217,207.18,247.41,399.1,833.72,4347.21
US_194,208.05,883.28,268.01,47.11,4779.1
US_367,208.35,390.0,304.03,3524.6,2178.93
US_376,209.98,953.08,230.05,952.26,43644.76
646_47,210.56,455.52,4681.02,26588.6,1.03
US_316,210.58,206.08,1423.04,2564.04,2006.02
US_133,211.06,672.41,478.98,443.11,4487.61
31678_61,211.07,192.41,6693.28,51150.22,1207.42
646_7,211.76,268.15,5002.21,2560.57,3270.79
US_256,211.92,561.42,733.97,636.86,744.49
US_263,211.92,1113.83,496.2,825.62,1661.77
US_264,214.24,867.73,234.26,789.05,3013.29
US_267,214.24,720.87,1107.27,1479.16,2574.38
US_272,214.24,684.84,393.89,259.68,2078.25
US_273,214.24,746.9,794.65,1743.67,4065.58
US_295,214.24,1759.43,537.13,636.61,0.17
